iter	Logloss
0	0.6842804827
1	0.6755810547
2	0.6670128523
3	0.6601231602
4	0.6497113473
5	0.643067191
6	0.6350068011
7	0.6267664446
8	0.6185772269
9	0.6112160819
10	0.6042756871
11	0.5949838257
12	0.5884561593
13	0.5823072161
14	0.5766146415
15	0.5701439558
16	0.5647526332
17	0.5589874268
18	0.5527387783
19	0.5462738473
20	0.5403135463
21	0.5313865444
22	0.5255665806
23	0.5205038452
24	0.5153822981
25	0.5100866263
26	0.5055194092
27	0.5009882028
28	0.494380406
29	0.4894492885
30	0.4848910086
31	0.4803053502
32	0.4750560216
33	0.4702433559
34	0.4642276437
35	0.4601455253
36	0.4562817383
37	0.4529569789
38	0.4489663696
39	0.4445404053
40	0.4405179269
41	0.436524571
42	0.4324235317
43	0.4292030552
44	0.4272037179
45	0.4234412493
46	0.4192724609
47	0.4154265485
48	0.4116173444
49	0.4088704136
50	0.4060561698
51	0.4018026733
52	0.3984803118
53	0.3954680089
54	0.393041251
55	0.3900672695
56	0.3871844046
57	0.383679766
58	0.3802798462
59	0.3779785156
60	0.3759014021
61	0.3739002337
62	0.371383231
63	0.3695406233
64	0.3674502563
65	0.3654774257
66	0.3627492196
67	0.3605533273
68	0.35816476
69	0.3561684963
70	0.3539006914
71	0.350930045
72	0.349005127
73	0.3469223458
74	0.3439968872
75	0.3412534659
76	0.3398752485
77	0.3366598075
78	0.3352488708
79	0.333195234
80	0.3301612418
81	0.3286737932
82	0.3270310538
83	0.3253741891
84	0.3235176304
85	0.3219095285
86	0.320519104
87	0.3177679225
88	0.3159691511
89	0.3137325178
90	0.3122495815
91	0.3109628514
92	0.3090799822
93	0.3074757167
94	0.305992388
95	0.3046152823
96	0.3031764439
97	0.3022670637
98	0.3011562892
99	0.2999419294
100	0.2975110735
101	0.2964005824
102	0.2950254168
103	0.2939282227
104	0.2928890555
105	0.2914779663
106	0.2903656006
107	0.2890854536
108	0.2879476057
109	0.2864673288
110	0.2855495344
111	0.2845786394
112	0.2833076259
113	0.2825068229
114	0.2812922668
115	0.2801484462
116	0.2788880484
117	0.2777932303
118	0.2768317304
119	0.2754205976
120	0.2745169939
121	0.273296269
122	0.2718127877
123	0.2707425799
124	0.2688138035
125	0.2678985814
126	0.2660097831
127	0.2649859183
128	0.2639837646
129	0.263152662
130	0.2620978219
131	0.2609769549
132	0.2595396205
133	0.2588665989
134	0.2577425276
135	0.2571948242
136	0.2555194528
137	0.2548058428
138	0.2538075474
139	0.2527749852
140	0.2521039908
141	0.2513009208
142	0.2505115618
143	0.2497061375
144	0.2489024135
145	0.2480126517
146	0.2471662903
147	0.2463218907
148	0.2452590724
149	0.2445367868
150	0.2439057922
151	0.2431422642
152	0.2420676967
153	0.2410493033
154	0.2400359671
155	0.2394687326
156	0.2388015093
157	0.237842538
158	0.2369886126
159	0.2359044756
160	0.2350752912
161	0.2342872838
162	0.233541347
163	0.2330102757
164	0.2322874669
165	0.2314342608
166	0.2309904262
167	0.2302049037
168	0.2296860613
169	0.2291380528
170	0.2284269496
171	0.2278151594
172	0.2269718715
173	0.2260270691
174	0.2255044556
175	0.2248825509
176	0.2242017473
177	0.2230523682
178	0.2225171552
179	0.2221386937
180	0.2215403966
181	0.220917838
182	0.2203391811
183	0.2199153573
184	0.218956822
185	0.2182028634
186	0.217586016
187	0.2167588806
188	0.2160290963
189	0.2155158343
190	0.2147054618
191	0.2138557652
192	0.2132717024
193	0.2127152361
194	0.2118748256
195	0.2112721034
196	0.2108801052
197	0.2105019488
198	0.2097452218
199	0.2088459124
200	0.2083335223
201	0.2079131208
202	0.2073532322
203	0.2063712856
204	0.2059604972
205	0.2054860578
206	0.205018267
207	0.2046755981
208	0.2037381417
209	0.2032899475
210	0.2027802168
211	0.2021674456
212	0.2016985212
213	0.2010347421
214	0.2005230931
215	0.2001240322
216	0.1996454511
217	0.1990553502
218	0.1987348284
219	0.1984064157
220	0.1977000863
221	0.1971871512
222	0.1966416277
223	0.1963151768
224	0.1960682896
225	0.1957330322
226	0.1955329677
227	0.1951216997
228	0.1945872716
229	0.1938228062
230	0.1933073643
231	0.1930257961
232	0.1925575256
233	0.1915585327
234	0.1912242344
235	0.1904885864
236	0.1902330671
237	0.1894963074
238	0.1890990775
239	0.188654698
240	0.188407244
241	0.1878147234
242	0.1871883283
243	0.1868672616
244	0.1862360273
245	0.185975647
246	0.1856006295
247	0.1852733285
248	0.1848340716
249	0.1845261492
250	0.1842153495
251	0.1838975525
252	0.1835270473
253	0.183203016
254	0.1828474426
255	0.1824589321
256	0.1821048301
257	0.1816237967
258	0.1812869481
259	0.1808715711
260	0.1805041068
261	0.1801982662
262	0.1791350228
263	0.178820888
264	0.1784616525
265	0.1780617196
266	0.1777994101
267	0.1774872916
268	0.1770116316
269	0.1766297913
270	0.1763502502
271	0.1760893467
272	0.1756938171
273	0.1750281416
274	0.1744258663
275	0.1741889954
276	0.173611472
277	0.1733616202
278	0.1730690329
279	0.1727021572
280	0.172390213
281	0.1721382904
282	0.1718760463
283	0.1717144993
284	0.1712972586
285	0.1711430577
286	0.1709507751
287	0.1707122803
288	0.1704907663
289	0.1701904515
290	0.1695770591
291	0.1691335624
292	0.1686738041
293	0.1683880833
294	0.1681876918
295	0.1679622214
296	0.1677104623
297	0.1674696568
298	0.1671700396
299	0.1665777915
300	0.1663527243
301	0.1660818045
302	0.1658259909
303	0.1655168806
304	0.1647877066
305	0.1644198826
306	0.1640707942
307	0.1638420868
308	0.1635327039
309	0.1633254569
310	0.1629277693
311	0.1626023647
312	0.1623443386
313	0.1619759914
314	0.1616579982
315	0.1614110674
316	0.1611443002
317	0.1609252167
318	0.160490472
319	0.1601810346
320	0.1598885018
321	0.1594018119
322	0.159258412
323	0.1588764518
324	0.1587354824
325	0.1584938049
326	0.1581154742
327	0.1579011972
328	0.1572633689
329	0.1569140298
330	0.1567093549
331	0.1564742388
332	0.1562445722
333	0.1560696193
334	0.1558499799
335	0.1555897522
336	0.1552801187
337	0.1544716317
338	0.1540144348
339	0.1537138585
340	0.1534727587
341	0.1529180036
342	0.1526468549
343	0.1519238499
344	0.151547699
345	0.1510678973
346	0.1507133048
347	0.1505001504
348	0.1503422873
349	0.1501752363
350	0.1500650024
351	0.1497916303
352	0.149526171
353	0.149293093
354	0.149205998
355	0.1489036778
356	0.1485236468
357	0.1483732823
358	0.1479978943
359	0.1476907458
360	0.1475467355
361	0.1471830096
362	0.1470182255
363	0.1468432617
364	0.1463591657
365	0.1459448678
366	0.1458666338
367	0.1456609018
368	0.1453861673
369	0.1451409258
370	0.1447373308
371	0.1445278059
372	0.1442423793
373	0.1440546744
374	0.1435101318
375	0.1432873317
376	0.1427017212
377	0.1425591605
378	0.1423019736
379	0.1418507385
380	0.1415064131
381	0.1412036678
382	0.1410101754
383	0.1408135005
384	0.1406057194
385	0.1404281398
386	0.1402562605
387	0.1398399135
388	0.1397234235
389	0.1395868574
390	0.1393817793
391	0.1390094757
392	0.1387536621
393	0.1384286281
394	0.1381734031
395	0.1379551152
396	0.1377814811
397	0.1374098315
398	0.1370681981
399	0.1368211801
400	0.1363549805
401	0.1361586652
402	0.1356126622
403	0.1353727068
404	0.1351163374
405	0.1349766868
406	0.1347684043
407	0.1344996861
408	0.134268025
409	0.1339946093
410	0.1336669595
411	0.1333944048
412	0.1332064383
413	0.1329758671
414	0.1326608276
415	0.1324847194
416	0.1322831399
417	0.1320181492
418	0.1318683733
419	0.1315305437
420	0.1312752206
421	0.1310906764
422	0.1307777187
423	0.1305807168
424	0.1303408595
425	0.1301994324
426	0.1299893188
427	0.1295060839
428	0.1292935726
429	0.1291340855
430	0.1289303807
431	0.1287591553
432	0.1285549927
433	0.1283184705
434	0.1281353324
435	0.1279277475
436	0.12763431
437	0.1274943869
438	0.1273971013
439	0.1272529166
440	0.1271036639
441	0.126834804
442	0.1266159494
443	0.1263576726
444	0.1261855643
445	0.1260461971
446	0.1259096636
447	0.1254041181
448	0.1249956948
449	0.1248202624
450	0.1247550092
451	0.124463174
452	0.1243092019
453	0.1240765817
454	0.1237431989
455	0.1235463933
456	0.1233589499
457	0.1231508527
458	0.1229523904
459	0.1226561192
460	0.1225016785
461	0.1223752049
462	0.1222387695
463	0.1220417459
464	0.1218908473
465	0.1217253658
466	0.121488266
467	0.1212541635
468	0.1210723005
469	0.1208448792
470	0.1207481602
471	0.120501273
472	0.120336271
473	0.1200427246
474	0.1199039895
475	0.119520983
476	0.1192779105
477	0.1191551971
478	0.119042511
479	0.1185036904
480	0.1182990374
481	0.1180735779
482	0.1178049142
483	0.1176557704
484	0.1175126212
485	0.1172622027
486	0.1171308572
487	0.1169541277
488	0.1167419216
489	0.1164458902
490	0.1161234283
491	0.1160117667
492	0.1157848685
493	0.1156547328
494	0.1155460249
495	0.1153142439
496	0.1151480539
497	0.114966398
498	0.1146885245
499	0.1145031084
500	0.1142583357
501	0.1140565709
502	0.1138434383
503	0.1136739894
504	0.1135787746
505	0.1134235709
506	0.1132728359
507	0.1130639866
508	0.1126603045
509	0.1125646537
510	0.1121411351
511	0.1119729614
512	0.1118304661
513	0.1116868155
514	0.1113751003
515	0.1112500872
516	0.1111590794
517	0.1109342085
518	0.1108177185
519	0.1104134696
520	0.1102890451
521	0.1100830841
522	0.1099089704
523	0.1097665405
524	0.1095694188
525	0.1093834468
526	0.1093076215
527	0.1090859767
528	0.1088980321
529	0.1087374006
530	0.108556257
531	0.1084209115
532	0.1082683781
533	0.1081692832
534	0.1079776001
535	0.1078187997
536	0.1076480321
537	0.1075216784
538	0.107339532
539	0.107112939
540	0.1069843183
541	0.10671875
542	0.1065941729
543	0.1064565822
544	0.1062288121
545	0.1060967909
546	0.1059725625
547	0.1058680725
548	0.1057474736
549	0.1054586901
550	0.1052922494
551	0.1051445443
552	0.1050109536
553	0.1048268018
554	0.1047194345
555	0.1045606777
556	0.1044266619
557	0.1042570278
558	0.1040748051
559	0.1038764518
560	0.1036884526
561	0.1035156904
562	0.1033474949
563	0.1031665911
564	0.1030202157
565	0.102920336
566	0.1027441406
567	0.102601253
568	0.1024924033
569	0.1022978973
570	0.1020667376
571	0.1018643188
572	0.1016858346
573	0.1015706308
574	0.1014224352
575	0.1012454224
576	0.1009810638
577	0.1008841378
578	0.1007168361
579	0.1005536543
580	0.1003930337
581	0.1002546038
582	0.1001600211
583	0.1000211007
584	0.09992094857
585	0.09975374494
586	0.09963943481
587	0.09946746826
588	0.09935653687
589	0.09920688084
590	0.09895125253
591	0.09865528652
592	0.09837650844
593	0.09824667794
594	0.09784354074
595	0.09773800441
596	0.097638637
597	0.09746078491
598	0.09720789228
599	0.09706717355
600	0.09688653128
601	0.09673492432
602	0.09656956264
603	0.09644967215
604	0.09623314994
605	0.09611918858
